NC,sentence_nat_1,tag_sentence_nat_1,sentence_nat_2,tag_sentence_nat_2,sentence_nat_3,tag_sentence_nat_3,comp_score,gold_syn_1,gold_syn_2,gold_syn_3,sentence_neut,tag_sentence_neut,word_1,word_x,word_2,wordsyn
pietra dello scandalo,"Le Universiadi : cioè la pietra dello scandalo o , se vogliamo , il trampolino di lancio ( o il cavalcavia ) di tutte le possibili accuse , compresa la pirateria ; ecco l ' argomento su cui i Saggi si affannarono per tentare di dissuaderci dal realizzarle .","[False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Fu questa la pietra dello scandalo su cui , per fare solo un paio di nomi , si trovarono a inciampare Baudelaire e Mallarmé .","[False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Gioca solo nell ' Inter con la Nazionale si riposa ROMA - Non esiste più la pietra dello scandalo .,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]",,causa di clamore,motivo di litigio,causa del disaccordo,Questa è una pietra dello scandalo.,"[False, False, False, True, True, True]",sasso,della,vergogna,sasso della vergogna
angolo cieco,Io conosco a memoria il buio e so come svoltare nell ' angolo cieco del corridoio e raggiungere la mia scala prediletta senza farmi vedere .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",« Colonnello Burov » rispose Hollis e si nascose nell ' angolo cieco della porta mentre i suoi compagni rinfoderavano le pistole .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]","Finalmente possono entrare nella palestra della scuola , disporsi nei banchi cercando il posto migliore , l ' angolo cieco dove gli sguardi dei professori e le fiamme del drago arrivano più raramente .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,angolo morto,punto non visibile,zona d'ombra,Questo è un angolo cieco.,"[False, False, False, True, True]",svolta,,non vedente,svolta non vedente
quote rosa,"L ' ultima provocazione di chi in Italia si sente anagraficamente specie da proteggere è un marchingegno legislativo , tipo quote rosa .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Quanto alla partecipazione, il Parlamento sta discutendo due provvedimenti importanti: le quote rosa nei consigli di amministrazione delle società quotate e partecipate e la doppia preferenza di genere nelle elezioni comunali e provinciali.","[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","A furia di parlare di "" quote rosa "" , si rischia di trascurare una rappresentanza parlamentare ben piò rappresentativa , o ben piò rappresentata : quella degli eletti nei guai con la giustizia .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,posizioni destinate alle donne,norma per parità di genere,rappresentanza femminile,Questa è una quote rosa.,"[False, False, False, True, True]",parte,,fucsia,parte fucsia
vecchia fiamma,Una lettera anonima lo informa che vent'anni prima ha avuto un figlio che e solo per l'insistenza dell' amico e vicino di casa si convince a partire per cercare quella vecchia fiamma che lo avrebbe reso padre.... ,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False]","Tra questi, Mitchell incontra anche Josie, una sua vecchia fiamma , ormai un'anziana donna malata.","[False, False, False, False, False, False, False, False, True, True, False, False, False, False, False]","Ma la situazione si fa ancora più complicata nel momento in cui vecchie fiamme riemergono nella vita dei protagonisti; si, perché alla vista di James Hammond, Polly non saprà resistere, soprattutto quando le verrà offerta una nuova possibilità di lavoro.","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,ex amore,vecchio amore,passione passata,Questa è una vecchia fiamma.,"[False, False, False, True, True]",datato,,fuoco,datato fuoco
figliuol prodigo,"Ricordiamo l ' esperienza del "" figliuol prodigo "" : ritornando a casa , si aspettava d ' incontrare un padre adirato , pronto a recriminare e invece l ' incontro ha smentito ogni sua aspettativa .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Mi è sembrato che la sua forza e la sua bellezza non fossero tanto quella di Giuseppe , pilastro della vecchiaia di Giacobbe , quanto quella del figliuol prodigo che fece soffrire il padre senza mai perderne l ' amore .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","È a Giovenale Vegezzi - Ruscalla che si deve la prima esplorazione linguistica , una raccolta delle diverse traduzioni dialettali della < Parabola del figliuol prodigo > , compiuta tra il 1830 e il ' 35. Da allora si sono moltiplicate le pubblicazioni .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,persona ritornata,persona pentita,persona ravveduta,Questo è un figliuol prodigo.,"[False, False, False, True, True]",ragazzo ,,scialacquatore,ragazzo scialacquatore
storia contemporanea,Una pagina di storia contemporanea dimenticata ma che per gravità è analoga a quella dell'olocausto e della persecuzione dei popoli gitani.,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Il GP IUTA esiste dal 2003 e contiene tutta la storia italiana dell'ultramaratona di questo secolo, che possiamo definire come "" storia contemporanea dell'ITALIA che corre verso l'infinito"". ","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False]",Parallelamente si sono moltiplicati i siti web che offrono informazioni e materiali per lo studio della Storia Contemporanea .,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",,storia recente,storia attuale,vicende odierne,Questa è una storia contemporanea.,"[False, False, False, True, True]",attuali ,,vicende,attuali vicende
tasso di mortalità,Supponiamo di confrontare il tasso di mortalità di due gruppi: coloro che lo scorso anno sono stati ricoverati in ospedale e coloro che non lo sono stati.,"[False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Il tasso di mortalità di questa specie è molto alto nei primi giorni di vita degli esemplari.,"[False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]","Sequele neurologiche nel 50% dei sopravvissuti (meningite asettica e meningite) , nelle aree endemiche i bambini sono più a rischio, mentre i più alti tassi di mortalità si osservano negli anziani. ","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False]",,indice di decesso,quoziente di mortalità,frequenza di morte,Questo è un tasso di mortalità.,"[False, False, False, True, True, True]",valore ,di ,decessi,valore di decessi
lenti a contatto,Siamo leader in Europa nella vendita di lenti a contatto online da oltre 10 anni.,"[False, False, False, False, False, False, False, True, True, True, False, False, False, False, False]","A chi sono consigliate Le lenti a contatto per la loro praticità d'uso e versatilità sono indicate, nelle diverse tipologie e con poche eccezioni, a tutti, risolvendo tanti piccoli problemi quotidiani e diventando compagne preziose nelle situazioni più diverse e ad ogni età. ","[False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","E se devo andare in montagna ci vado solo il Giovedì, perché così per il Venerdì sono abbronzato, vado in discoteca e rimorchio un casino di fighe, con la pelle bella scura e le lenti a contatto azzurre!"" ","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]",,lentine,lenti corneali,lenti da vista,Questo è una lente a contatto.,"[False, False, False, True, False, True]",cristallo ,ad ,accostamento,cristallo ad accostamento
primula rossa,"L ' Fbi riceve una dritta : l ' attentatore detto Citizen , imprendibile come la Primula Rossa , si prepara a far danni al concorso di Miss America .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","La vicenda della ex fabbrica della Zucchi nel dissestato panorama occupazionale regionale, sembra rivestire il ruolo di primula rossa nell'agenda delle emergenze, sia per la classe politica ma anche per i mezzi di informazione.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Questa Primula Rossa del 2000 niente affatto romantica , è nato a Gedda , in Arabia Saudita ; suo padre era un ricco palazzinaro , produttore instancabile di case e moschee , di ville ma altresì di figli .","[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,inafferrabile,fuggitivo,latitante,Questa è una primula rossa.,"[False, False, False, True, True]",fiore ,,scarlatto,fiore scarlatto
strappo alla regola,La necessità di fare uno strappo alla regola della legalità formale ( in cambio c ' era l ' esilio ) era stata riconosciuta .,"[False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","In una mano reggeva saldamente un caffellatte nel bicchiere di plastica di Starbucks e nell ' altra un biscotto con gocce di cioccolato ... uno strappo alla regola , ma una meritata gratificazione per una giornata lunga e impegnativa .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","E invece qualche sera fa Federico Imbert , numero uno del Credit Suisse e figura mitica dell ' investment banking milanese , ha fatto una strappo alla regola ed è apparso a sorpresa al Just Cavalli .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False]",,eccezione,deroga,infrazione occasionale,Questo è uno strappo alla regola.,"[False, False, False, True, True, True]",rottura ,alla ,norma,rottura alla norma
gas nobile,Nella tabella seguente sono riportate alcune caratteristiche fisiche dei gas nobili .,"[False, False, False, False, False, False, False, False, False, True, True, False]","Infatti, una volta puntata la stella da analizzare e osservando la scomposizione dei colori che appaiono nello spettroscopio, si è in grado di stabilire se quella stella contiene Idrogeno, Elio, Acqua, Ossigeno o altri tipi di gas nobili .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Il radon è un gas nobile radioattivo, inodore ed incolore, prodotto dal decadimento radioattivo del radio.","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]",,gas raro,gas inerte,gas stabile,Questo è un gas nobile.,"[False, False, False, True, True]",aeriforme ,,aristocratico,aeriforme aristocratico
roulette russa,Non avete considerato che la roulette russa è antiquata e ci vorrebbe proprio qualcosa di più moderno?,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]","Non si può essere pessimisti, altrimenti è meglio giocare alla roulette russa .","[False, False, False, False, False, False, False, False, False, False, True, True, False]","Ebbene, cerco di stare sempre attento e ho tutti i dispositivi necessari ma ormai anche percorrendo le ciclabili è come giocare alla roulette russa .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",,gioco mortale,azzardo estremo,sfida temeraria,Questa è una roulette russa.,"[False, False, False, True, True]",disco ,,sovietico,disco sovietico
lavoro sul campo,"A partire dall'esperienza di una trentina d'anni di lavoro sul campo , l'autore propone di abbandonare il mimetismo delle politiche post-coloniali per rifondare la giustizia sulla base del pluralismo e del meticciato.","[False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Il lavoro sul campo si è svolto tra il 2010 e il 2011 e la certificazione si riferisce al triennio 2011-2013.,"[False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",L'esposizione è frutto di un progetto realizzato in collaborazione con l'Istituto Europeo di Design: un anno di ricerca e di lavoro sul campo sul rapporto fra i giovani e le istituzioni culturali.,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False]",,ricerca empirica,attività in loco,esperienza diretta,Questo è un lavoro sul campo.,"[False, False, False, True, True, True]",mansione ,sul ,terreno,mansione sul terreno
mani pulite,"Rilanciata da Mani pulite , ma anche dai grandi processi alla mafia , dopo il trionfo del magistrato televisivo , indimenticabile Il cane sciolto di Castellitto , trionfano negli sceneggiati nostrani gli avvocati .","[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Cosa ne sarebbe stato dell ' isola con la fine del mondo bipolare , la caduta di un sistema politico - economico quarantennale e la scomparsa sotto i colpi di "" mani pulite "" della sua garante politica , la Democrazia cristiana ?","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]","Con le mani pulite non si diventa carrozziere : regola antica , mai dimenticata , che i giovani interessati dovrebbero tenere bene a mente .","[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,Tangentopoli,inchiesta sulla corruzione,scandalo delle tangenti,Questo è mani pulite.,"[False, False, True, True]",palmi,,lindi,palmi lindi
